(Product),(Customer),(Purchase Date),Cost Amount,Profit After Tax,Profit Before Tax,Discounted Sales,Undiscounted Sales
i85s,Mary Zewe,7/27/2004,1773.74,761.136,951.42,2725.16,3242.94
Sony 600 Series Flip,Patrick O_Brill,7/27/2004,1082.97,394.064,492.58,1575.55,1953.68
Ericsson 2120,Karen Seio,7/28/2004,716.74,368.664,460.83,1177.57,1236.45
TimeportP7382,Pierre Wener,7/28/2004,994.76,514.088,642.61,1637.37,1964.84
SAFCO Folding Chair Trolley,Seth Vernon,7/28/2004,1543.44,676.688,845.86,2389.3,2747.7
Sony Accessory13,Seth Vernon,7/28/2004,152.35,87.304,109.13,261.48,319.006
Xerox 1920,Seth Vernon,7/28/2004,474.82,-181.52,-181.52,293.3,337.295
Global Deluxe Steno Chair,Suzanne McNair,7/29/2004,869.65,-79.86,-79.86,789.79,955.646
Bell Sonecor JB700 Caller ID,Roy Skaria,7/29/2004,373.31,-67.76,-67.76,305.55,375.827
Ericsson 7190,Michael Moore,7/29/2004,1588.71,922.456,1153.07,2741.78,2961.12
Prang Drawing Pencil Set,Michael Moore,7/29/2004,90,-0.41,-0.41,89.59,109.3
Newell 336,Sheri Gordon,7/29/2004,76.75,21.16,26.45,103.2,127.968
Ultra Door Push Plate,Seth Vernon,7/29/2004,95.25,-14.82,-14.82,80.43,97.32
Mobile Personal File Cube,Jane Waco,7/29/2004,950.11,50.848,63.56,1013.67,1115.04
Global Deluxe Steno Chair,Peter McVee,7/29/2004,1652.34,-174.64,-174.64,1477.7,1788.02
V70,Meg Tillman-Sachs,7/29/2004,3224.89,1845.21,2306.51,5531.4,6195.17
Xerox 1986,Yoseph Carroll-Englig,7/30/2004,324.79,-11.44,-11.44,313.35,357.219
Xerox 2000,Michael Moore,7/30/2004,300.08,-104.89,-104.89,195.19,238.132
iDEN i550,Sandra Glassco,7/30/2004,2440.93,714.552,893.19,3334.12,3567.51
Sony Accessory40,Rick Reed,7/30/2004,1213.96,1716.65,2145.81,3359.77,4166.11
Advantus Push Pins,Maurice Satty,7/30/2004,58.48,-1.18,-1.18,57.3,69.906
Xerox 1968,Meg Tillman-Sachs,7/30/2004,198.3,-34.28,-34.28,164.02,201.745
Newell 307,Rose O_Brian-Murray,7/31/2004,80.3,-5.31,-5.31,74.99,79.489
Xerox 228,Pierre Wener,7/31/2004,123.38,-45.56,-45.56,77.82,95.719
Xerox 1981,Deanra Eno,7/31/2004,115.23,-28.23,-28.23,87,103.53
Ericsson 5180,Sue Ann Reed-Freeman,7/31/2004,872.94,321.32,401.65,1274.59,1529.51
Xerox 1892,Quincy Jones,7/31/2004,380.99,113.184,141.48,522.47,642.638
Xerox 1943,Patrick O_Brill,7/31/2004,1624.53,466.312,582.89,2207.42,2450.24
Logitech Access Keyboard,MaryBeth Skach,7/31/2004,170.04,20.184,25.23,195.27,230.419
Avery 517,Shui Tom,7/31/2004,93.21,77.672,97.09,190.3,201.718
Nontoxic Chalk,Rose O_Brian-Murray,8/1/2004,13.21,0.928,1.16,14.37,17.1
Xerox 1955,Hilary Holden,8/1/2004,87.59,42.4,53,140.59,158.867
Newell 329,Dario Medina,8/1/2004,61.22,7.432,9.29,70.51,75.446
Sony Accessory24,Noel Staavos,8/1/2004,363.34,128.512,160.64,523.98,618.296
DAX Wood Document Frame,Sharelle Roach-McGee,8/1/2004,172.89,-21.93,-21.93,150.96,166.056
Avery 481,Michael Moore,8/1/2004,25.56,8.392,10.49,36.05,38.213
Avery 510,Patrick O_Brill,8/1/2004,88.71,71.84,89.8,178.51,215.997
Acco Glide Clips,Seth Vernon,8/1/2004,3.71,1.912,2.39,6.1,7.442
LX 788,Shui Tom,8/1/2004,3282.32,1530.99,1913.74,5196.06,5559.78
Avery Poly Binder Pockets,Dario Medina,8/2/2004,258.19,-114.07,-114.07,144.12,177.268
Ericsson 6190,Dario Medina,8/2/2004,465.53,272.8,341,806.53,895.248
Gyration RF Keyboard,Sandra Glassco,8/2/2004,587.27,392.976,491.22,1078.49,1272.62
Pizazz Global Quick File(TM),Seth Vernon,8/2/2004,240.64,-20.62,-20.62,220.02,246.422
Xerox 1885,Seth Vernon,8/2/2004,1200.23,795.52,994.4,2194.63,2392.15
Avery Hole Reinforcements,Meg Tillman-Sachs,8/2/2004,377.72,-110.37,-110.37,267.35,318.147
Avery 508,Rose O_Brian-Murray,8/3/2004,9.07,8.896,11.12,20.19,23.622
Micropad Numeric Keypads,Rose O_Brian-Murray,8/3/2004,741.16,186.056,232.57,973.73,1061.37
Xerox 1965,Karen Seio,8/3/2004,335.52,-67.97,-67.97,267.55,283.603
Nokia 252,Pierre Wener,8/3/2004,1984.08,1016.8,1271,3255.08,3580.59
P280,Shui Tom,8/3/2004,126.4,61.824,77.28,203.68,219.974
Sony Accessory27,Jim Sink,8/3/2004,1103.34,-38.43,-38.43,1064.91,1245.94
Timeport L7082,Maurice Satty,8/3/2004,930.42,303.4,379.25,1309.67,1558.51
KI Conference Tables,Michael Moore,8/4/2004,6219.63,-2891.79,-2891.79,3327.84,4093.24
Xerox 1998,Sandra Glassco,8/4/2004,49.31,-5.28,-5.28,44.03,46.672
LX 788,Shui Tom,8/4/2004,397.86,195.352,244.19,642.05,686.993
Plastic Binding Combs,Shui Tom,8/4/2004,651.37,-33.01,-33.01,618.36,704.93
Sony Accessory4,Meg Tillman-Sachs,8/4/2004,1111.22,121.44,151.8,1263.02,1401.95
Avery 511,Noel Staavos,8/5/2004,59.63,24.696,30.87,90.5,104.075
Sony Accessory26,Noel Staavos,8/5/2004,1539.96,268.712,335.89,1875.85,2175.99
Novimex Turbo Task Chair,Roy Skaria,8/5/2004,2127.2,-104.08,-104.08,2023.12,2326.59
Acco Keyboard-In-A-Box,Sharelle Roach-McGee,8/5/2004,196.24,5.624,7.03,203.27,239.859
V8160,Sharelle Roach-McGee,8/5/2004,1223.09,685.08,856.35,2079.44,2516.12
Hon Mobius(TM) Operator_s Chair,Nona Balk,8/5/2004,1580.2,-11.75,-11.75,1568.45,1756.66
i600,Mary Zewe,8/5/2004,3291.41,1673.19,2091.49,5382.9,5759.7
Xerox 1889,Meg Tillman-Sachs,8/5/2004,1312.59,357.088,446.36,1758.95,2145.92
Hon Mobius(TM) Operator_s Chair,Mary O_Rourke,8/6/2004,6584.19,-87.77,-87.77,6496.42,7275.99
Avery 519,Jason Gross,8/6/2004,37.68,32.64,40.8,78.48,87.113
Ericsson 6160,Mary Zewe,8/6/2004,548.91,317.832,397.29,946.2,1088.13
CH 768,Grace Kelly,8/6/2004,3590.44,1561.76,1952.2,5542.64,6817.45
Verbatim 4.7GB DVD-R,Seth Vernon,8/6/2004,203.31,186.96,233.7,437.01,524.412
Sony Accessory26,Shui Tom,8/6/2004,3519.92,313.056,391.32,3911.24,4537.04
G.E. Halogen Desk Lamp Bulbs,Tanja Norvell,8/7/2004,173.2,34.872,43.59,216.79,264.484
GBC VeloBinder Strips,Elizabeth Moffitt,8/7/2004,185.81,-12.11,-12.11,173.7,187.596
Security-Tint Envelopes,Skye Norling-Christen,8/7/2004,169.76,95.848,119.81,289.57,356.171
TIMEPORT P8767,Grace Kelly,8/7/2004,665.67,269.392,336.74,1002.41,1122.7
Avery 480,Sandra Glassco,8/7/2004,15.1,11.12,13.9,29,31.9
Maxell 4.7GB DVD+R 5/Pack,Jim Sink,8/7/2004,94.6,-54.5,-54.5,40.1,48.922
V8160,Jim Sink,8/7/2004,1893.81,1014.91,1268.64,3162.45,3826.56
T28 WORLD,Hilary Holden,8/8/2004,1898.76,711.984,889.98,2788.74,2956.06
Ericsson 6185,Jasper Cacioppo,8/8/2004,2327.01,1488.62,1860.77,4187.78,5234.73
Xerox 1930,Jasper Cacioppo,8/8/2004,82.29,-21.29,-21.29,61,75.64
Newell 345,Noel Staavos,8/8/2004,128.73,-6.06,-6.06,122.67,144.751
Rogers Jumbo File  Granite,Elizabeth Moffitt,8/8/2004,357.43,-107.13,-107.13,250.3,267.821
Xerox 1882,Grace Kelly,8/8/2004,1565.51,833.184,1041.48,2606.99,2867.69
Holmes HEPA Air Purifier,Sandra Glassco,8/8/2004,437.58,125.288,156.61,594.19,671.435
Sauder Barrister Bookcases,Sandra Glassco,8/8/2004,2608.36,-783.46,-783.46,1824.9,2171.63
Xerox 223,Hilary Holden,8/9/2004,236.69,-68.2,-68.2,168.49,207.243
Holmes HEPA Air Purifier,Skye Norling-Christen,8/9/2004,572.22,144.128,180.16,752.38,850.189
Belkin ErgoBoard(TM) Keyboard,Mary O_Rourke,8/10/2004,1030.62,49.864,62.33,1092.95,1311.54
Binder Clips by OIC,Skye Norling-Christen,8/10/2004,18.71,2.992,3.74,22.45,26.715
I888 World Phone,Sandra Glassco,8/10/2004,2643.52,1079.16,1348.95,3992.47,4551.42
Avery 520,Suzanne McNair,8/11/2004,18.32,10.968,13.71,32.03,39.717
DPC 650 Piper,Joseph Airdo,8/11/2004,837.29,432.504,540.63,1377.92,1694.84
Cameo Buff Policy Envelopes,Noel Staavos,8/11/2004,1176.76,1468.63,1835.79,3012.55,3735.56
Super Bands  12/Pack,Patrick O_Brill,8/11/2004,61.58,-30.26,-30.26,31.32,34.139
Newell 335,Jas O_Carroll,8/12/2004,62.45,14.672,18.34,80.79,96.948
Ericsson 5170,Roy Skaria,8/12/2004,301.94,104.824,131.03,432.97,493.586
Pizazz Global Quick File(TM),Henia Zydlo,8/12/2004,705.89,-48.26,-48.26,657.63,736.546
Bevis Steel Folding Chairs,Skye Norling-Christen,8/12/2004,4258.37,-989.81,-989.81,3268.56,3987.64
Newell 320,Jas O_Carroll,8/13/2004,12.25,1.84,2.3,14.55,17.751
Sony 6160I,Jas O_Carroll,8/13/2004,5683.5,2991.64,3739.55,9423.05,11778.8
Staples #2 Yellow Pencils,Michael Moore,8/13/2004,100.18,-27.08,-27.08,73.1,81.872
Newell 351,Sandra Glassco,8/13/2004,283.73,-130.15,-130.15,153.58,185.832
KH 688,Jim Sink,8/13/2004,463.66,228.328,285.41,749.07,801.505
Avery 506,Jesus Ocampo,8/14/2004,48.55,48.368,60.46,109.01,123.181
Avery Poly Binder Pockets,Tanja Norvell,8/14/2004,129.1,-51.53,-51.53,77.57,95.411
Computer Printout Index Tabs,Tanja Norvell,8/14/2004,147.54,-101.94,-101.94,45.6,54.264
Sony Accessory33,Tanja Norvell,8/14/2004,199.19,150.864,188.58,387.77,445.935
g520,Sandra Glassco,8/14/2004,1988.73,764.632,955.79,2944.52,3386.2
Economy Binders,Tanja Norvell,8/15/2004,40.3,-0.25,-0.25,40.05,46.858
Fiskars 8Inch Scissors  2/Pack,Tanja Norvell,8/15/2004,103.32,32.232,40.29,143.61,178.076
Tennsco Industrial Shelving,Seth Vernon,8/15/2004,453.57,-134.74,-134.74,318.83,366.654
Xerox 1882,Noel Staavos,8/16/2004,34.03,25.04,31.3,65.33,71.863
Xerox 1938,Noel Staavos,8/16/2004,613.16,520.44,650.55,1263.71,1402.72
Novimex Turbo Task Chair,Jas O_Carroll,8/17/2004,3927.14,-327.92,-327.92,3599.22,4139.1
Avery 474,Noel Staavos,8/17/2004,89.18,28.712,35.89,125.07,135.076
StarTAC ST7762,Jesus Ocampo,8/18/2004,3834.93,1718.79,2148.49,5983.42,6342.43
Avery 496,Yoseph Carroll-Englig,8/18/2004,52.85,38.72,48.4,101.25,107.325
UniKeep(TM) View Case Binders,Suzanne McNair,8/19/2004,47.86,-14.5,-14.5,33.36,36.029
Pastel Pink Envelopes,Barbara Fisher,8/19/2004,72.71,24.312,30.39,103.1,123.72
Xerox 1882,Michael Oakman,8/20/2004,1259.21,685.928,857.41,2116.62,2328.28
Fuji 5.2GB DVD-RAM,Michael Moore,8/20/2004,637.47,304.08,380.1,1017.57,1160.03
Avery Binder Labels,Olvera Toch,8/20/2004,160.54,-70.42,-70.42,90.12,100.934
Xerox 1928,Nathan Mautz,8/20/2004,184.18,-53.32,-53.32,130.86,141.329
Newell 346,Tracy Zic,8/20/2004,9.25,2.84,3.55,12.8,13.824
Xerox 194,Mary O_Rourke,8/21/2004,174.14,109.408,136.76,310.9,338.881
GBC Linen Binding Covers,Michael Oakman,8/21/2004,277.11,90.976,113.72,390.83,453.363
6Inch Cubicle Wall Clock  Black,Yoseph Carroll-Englig,8/21/2004,536.58,-182.77,-182.77,353.81,424.572
Dana Swing-Arm Lamps,Jasper Cacioppo,8/21/2004,739.02,-324.44,-324.44,414.58,443.601
Xerox 1984,Nathan Mautz,8/21/2004,298.97,-124.44,-124.44,174.53,209.436
Document Clip Frames,Maurice Satty,8/21/2004,145.48,104.208,130.26,275.74,300.557
Fellowes Super Stor/Drawer,Suzanne McNair,8/22/2004,617.32,-151.38,-151.38,465.94,540.49
Xerox 1885,Henia Zydlo,8/22/2004,950.18,668.448,835.56,1785.74,1946.46
Xerox 212,Olvera Toch,8/22/2004,464.3,-199.55,-199.55,264.75,288.577
Xerox 208,Heather Jas-Hannaway,8/22/2004,385.03,-164.96,-164.96,220.07,233.274
Eldon Gobal File Keepers,Nathan Mautz,8/22/2004,654.94,-108.54,-108.54,546.4,579.184
Prang Dustless Chalk Sticks,Suzanne McNair,8/23/2004,47.64,2.752,3.44,51.08,55.166
Prang Dustless Chalk Sticks,Thomas Boland,8/23/2004,77.81,6.384,7.98,85.79,92.653
Bell Sonecor JB700 Caller ID,Mary Zewe,8/23/2004,422.43,-77.95,-77.95,344.48,423.71
Xerox 1912,Nathan Mautz,8/23/2004,413.74,183.64,229.55,643.29,675.454
OIC Stacking Trays,Shui Tom,8/23/2004,93.83,-18.14,-18.14,75.69,93.856
Xerox 1958,Victor Price,8/23/2004,463.08,-140.06,-140.06,323.02,381.164
Sony Accessory12,Mary O_Rourke,8/24/2004,1075.68,1305.17,1631.46,2707.14,2977.85
Tennsco Double-Tier Lockers,Michael Oakman,8/24/2004,4766.86,844.856,1056.07,5822.93,6288.76
Avery 52,Lynn Smith-Reed,8/24/2004,77.99,61.28,76.6,154.59,191.692
Sony Accessory37,Michael Moore,8/24/2004,97.51,6.072,7.59,105.1,125.069
R300LX,Laura Armstrong,8/24/2004,1485.84,480.68,600.85,2086.69,2420.56
StarTAC ST7868,Heather Jas-Hannaway,8/24/2004,2583.39,1207.54,1509.42,4092.81,4665.8
Xerox 1959,Heather Jas-Hannaway,8/24/2004,39.09,-5.49,-5.49,33.6,38.976
Phone 918,Lena Cacioppo,8/24/2004,5567.5,3063.68,3829.6,9397.1,11558.4
Xerox 1955,Stephanie Ulpright,8/24/2004,729.88,370.336,462.92,1192.8,1347.86
Staples Paper Clips,Victor Price,8/24/2004,95.97,19.84,24.8,120.77,135.262
Avery 480,Jesus Ocampo,8/25/2004,94.37,90.936,113.67,208.04,228.844
StarTAC ST7868,Lela Donovan,8/25/2004,469.71,202.856,253.57,723.28,824.539
Xerox 1883,Lela Donovan,8/25/2004,158.68,77.504,96.88,255.56,319.45
i600,Thomas Boland,8/25/2004,1377.8,631.28,789.1,2166.9,2318.58
Avery 488,Lynn Smith-Reed,8/25/2004,53.3,51.32,64.15,117.45,130.37
OIC #2 Pencils  Medium Soft,Henia Zydlo,8/25/2004,38.05,-1.41,-1.41,36.64,39.571
Ericsson 6185,David Flashing,8/25/2004,1959.59,1067.94,1334.93,3294.52,4118.15
Xerox 204,Meg O_Connel,8/25/2004,462.88,-138.76,-138.76,324.12,379.22
OIC Thumb-Tacks,Shui Tom,8/25/2004,9.07,1.112,1.39,10.46,12.866
Xerox 1927,William Brown,8/26/2004,337.28,-174.94,-174.94,162.34,194.808
Xerox 1946,Henia Zydlo,8/26/2004,196.98,-37.21,-37.21,159.77,174.149
Timeport P8167,David Flashing,8/26/2004,1110.96,507.928,634.91,1745.87,1955.37
Avery 478,Hallie Redmond,8/27/2004,54.42,53.568,66.96,121.38,148.084
Xerox 1987,Jesus Ocampo,8/27/2004,27.21,3.816,4.77,31.98,37.097
Sony Accessory2,David Wiener,8/27/2004,1409.96,843.776,1054.72,2464.68,2711.15
Xerox 23,William Brown,8/27/2004,248.74,-15.63,-15.63,233.11,251.759
Poly Designer Cover & Back,Tracy Zic,8/27/2004,392.2,136.704,170.88,563.08,692.588
Lock-Up Easel _Spel-Binder_,David Flashing,8/27/2004,542.58,518.576,648.22,1190.8,1417.05
Nu-Dell Leatherette Frames,David Flashing,8/27/2004,216.48,35.208,44.01,260.49,320.403
Cameo Buff Policy Envelopes,Maurice Satty,8/27/2004,225.34,288.376,360.47,585.81,726.404
Newell 345,Rose O_Brian-Murray,8/28/2004,64.37,6.184,7.73,72.1,85.078
DAX Solid Wood Frames,Jesus Ocampo,8/28/2004,332,-22.37,-22.37,309.63,383.941
R300LX,Sue Ann Reed-Freeman,8/28/2004,863.86,232.44,290.55,1154.41,1339.12
Xerox 1972,Sue Ann Reed-Freeman,8/28/2004,47.77,-10.1,-10.1,37.67,41.437
Sony Accessory13,Jason Gross,8/28/2004,827.04,413.648,517.06,1344.1,1639.8
Fellowes Econo/Stor Drawers,Tracy Zic,8/28/2004,3476.33,-77.83,-77.83,3398.5,3670.38
GBC Imprintable Covers,Tracy Zic,8/28/2004,281.88,47.864,59.83,341.71,427.137
Magnifier Swing Arm Lamp,Tracy Zic,8/28/2004,273.7,-20.42,-20.42,253.28,291.272
Xerox 1993,David Flashing,8/28/2004,504.54,-225.66,-225.66,278.88,315.134
Maxell 4.7GB DVD-R,Peter McVee,8/28/2004,362.2,159.776,199.72,561.92,634.97
Magnifier Swing Arm Lamp,Victor Price,8/28/2004,364.93,-26.04,-26.04,338.89,389.724
Newell 330,Victor Price,8/28/2004,23.07,3.4,4.25,27.32,33.057
Tennsco Single-Tier Lockers,Victor Price,8/28/2004,7329,1311.91,1639.89,8968.89,11121.4
Loose Memo Sheets,Jesus Ocampo,8/29/2004,110.3,10.472,13.09,123.39,134.495
Sony Accessory12,Michael Oakman,8/29/2004,521.54,726.92,908.65,1430.19,1573.21
Avery 475,Jason Gross,8/29/2004,170.4,237.12,296.4,466.8,494.808
BPI Conference Tables,Victor Price,8/29/2004,183.9,32.48,40.6,224.5,273.89
Avery 500,Rose O_Brian-Murray,8/30/2004,150.78,137.056,171.32,322.1,347.868
Sony 6120I,Lynn Smith-Reed,8/30/2004,2555.08,1168.18,1460.22,4015.3,4336.52
Xerox 1999,Elizabeth Moffitt,8/30/2004,8.06,10.704,13.38,21.44,23.37
4009 Highlighters,Jason Gross,8/30/2004,19.37,-0.66,-0.66,18.71,20.955
Hon Olson Stacker Chairs,Mary Zewe,8/30/2004,7408.76,2471.97,3089.96,10498.7,12598.5
Eldon Gobal File Keepers,Nathan Mautz,8/30/2004,487.01,-74.15,-74.15,412.86,437.632
Eldon Gobal File Keepers,Rose O_Brian-Murray,8/31/2004,302.28,-27.96,-27.96,274.32,290.779
Avery 52,Maxwell Schwartz,8/31/2004,83.7,58.912,73.64,157.34,195.102
Xerox 1887,Seth Vernon,8/31/2004,146.75,74.16,92.7,239.45,292.129
Ericsson 8890,Maurice Satty,8/31/2004,2854.57,973.344,1216.68,4071.25,4559.8
Fellowes Econo/Stor Drawers,Meg Tillman-Sachs,8/31/2004,1448.47,-113.58,-113.58,1334.89,1441.68
Xerox 191,Meg Tillman-Sachs,8/31/2004,565,250.536,313.17,878.17,1053.8
Newell 31,Jas O_Carroll,9/1/2004,109.25,19.832,24.79,134.04,159.508
Xerox 230,Sharelle Roach-McGee,9/1/2004,278.37,-21.3,-21.3,257.07,293.06
Avery 487,Maxwell Schwartz,9/1/2004,57.07,36.136,45.17,102.24,116.554
Imation CD-R,Joseph Airdo,9/2/2004,151,-49.51,-49.51,101.49,117.728
StarTAC 7760,Seth Vernon,9/2/2004,2017.43,1038.98,1298.73,3316.16,4012.55
Xerox 1965,Peter McVee,9/2/2004,241.89,-56.05,-56.05,185.84,196.99
Acme Box Cutter Scissors,Sarah Jordon-Smith,9/3/2004,396.48,-29.64,-29.64,366.84,399.856
Alliance Rubber Bands,Nathan Mautz,9/3/2004,33.33,-9.28,-9.28,24.05,29.582
ELITE Series,Seth Vernon,9/3/2004,489.06,219.8,274.75,763.81,893.658
Plastic Binding Combs,Seth Vernon,9/3/2004,524.27,-19.19,-19.19,505.08,575.791
Nu-Dell Leatherette Frames,Shui Tom,9/3/2004,168.37,37.72,47.15,215.52,265.09
Xerox 1934,Jim Sink,9/3/2004,860.3,841.112,1051.39,1911.69,2141.09
Newell 331,Joseph Airdo,9/4/2004,265.44,-62.51,-62.51,202.93,225.252
Sony Accessory17,Nathan Mautz,9/4/2004,1069.87,103.136,128.92,1198.79,1378.61
Avery 49,Stephanie Ulpright,9/4/2004,56.86,39.304,49.13,105.99,132.487
Eldon Wave Desk Accessories,Stephanie Ulpright,9/4/2004,375.29,-98.43,-98.43,276.86,335.001
Bell Sonecor JB700 Caller ID,Jim Sink,9/4/2004,167.01,-24.95,-24.95,142.06,174.734
Xerox 1963,Jim Sink,9/4/2004,462.24,-216.69,-216.69,245.55,277.471
Logitech Cordless Access Duo,Jasper Cacioppo,9/5/2004,519.93,371.448,464.31,984.24,1161.4
Ericsson 5190,Roy Skaria,9/5/2004,1725.09,517.272,646.59,2371.68,2893.45
Aluminum Document Frame,Tonja Turnell,9/5/2004,9.57,3.864,4.83,14.4,17.424
Avery Non-Stick Binders,Tonja Turnell,9/5/2004,166.4,-41.52,-41.52,124.88,138.617
Avery 480,Nona Balk,9/5/2004,58.51,53.024,66.28,124.79,137.269
Prismacolor Color Pencil Set,Nona Balk,9/5/2004,551.67,243.824,304.78,856.45,1010.61
Coloredge Poster Frame,Heather Jas-Hannaway,9/5/2004,579.77,68.456,85.57,665.34,725.221
Verbatim DVD Rewritable Disc,Nathan Mautz,9/5/2004,140.68,88.72,110.9,251.58,299.38
Ericsson 7160,Debra Catini-Entman,9/5/2004,1310.76,760.352,950.44,2261.2,2532.54
3M Office Air Cleaner,Nona Balk,9/6/2004,91.8,38.808,48.51,140.31,159.953
Ericsson 6161,Hilary Holden,9/7/2004,3230.64,1559.19,1948.99,5179.63,6319.15
DIXON Oriole Pencils,Tonja Turnell,9/7/2004,118.53,-8.88,-8.88,109.65,129.387
Xerox 213,Tanja Norvell,9/8/2004,410.3,-138.96,-138.96,271.34,328.321
Novimex Turbo Task Chair,Jason Gross,9/8/2004,2699.91,-304.62,-304.62,2395.29,2754.58
Sony Accessory19,Mathew Reese,9/8/2004,52.84,72.408,90.51,143.35,153.385
Sony 6185I,Lela Donovan,9/9/2004,80.23,45.624,57.03,137.26,156.476
Avery Durable Poly Binders,Henia Zydlo,9/9/2004,283.24,-112.05,-112.05,171.19,210.564
Letter Slitter,Michael Moore,9/9/2004,111.62,-42.39,-42.39,69.23,80.999
Fellowes Super Stor/Drawer,Nathan Mautz,9/9/2004,1736.21,-392.54,-392.54,1343.67,1558.66
Sony 600 Series Flip,Mary O_Rourke,9/10/2004,2102.24,1062.26,1327.83,3430.07,4253.29
Advantus Push Pins,Nona Balk,9/10/2004,88.89,-4.01,-4.01,84.88,103.554
Sterling V.92 PCI Softmodem,Nona Balk,9/10/2004,783.11,218.808,273.51,1056.62,1151.72
Ericsson 6161,Maxwell Schwartz,9/10/2004,1146.36,660.272,825.34,1971.7,2405.47
i270,Rick Reed,9/10/2004,2264.22,884.248,1105.31,3369.53,3908.66
T20e,Hilary Holden,9/11/2004,3426.65,1842.17,2302.71,5729.36,6703.35
Avery 486,Iggy Osterman,9/11/2004,42.61,36.552,45.69,88.3,105.077
Newell 341,Iggy Osterman,9/11/2004,45.61,2.04,2.55,48.16,50.568
Rogers Deluxe File Chest,Iggy Osterman,9/11/2004,1032.38,-113.45,-113.45,918.93,1065.96
Xerox 1887,Iggy Osterman,9/11/2004,391.32,179.56,224.45,615.77,751.239
Mobile Personal File Cube,Lela Donovan,9/11/2004,992.34,21.504,26.88,1019.22,1121.14
Xerox 1899,Michael Oakman,9/11/2004,295.71,-43.33,-43.33,252.38,282.666
Xerox 1999,Michael Oakman,9/11/2004,402.88,-76.85,-76.85,326.03,355.373
Avery 504,Tonja Turnell,9/11/2004,32.27,35.488,44.36,76.63,88.124
StarTAC Series,Laura Armstrong,9/11/2004,120.58,74.584,93.23,213.81,245.882
Newell 322,Tonja Turnell,9/12/2004,68.45,-10.22,-10.22,58.23,69.876
EcoTones Memo Sheets,Elizabeth Moffitt,9/12/2004,100.08,37.304,46.63,146.71,158.447
Xerox 1948,Heather Jas-Hannaway,9/12/2004,446.68,38.32,47.9,494.58,568.767
Xerox 1970,Peter McVee,9/12/2004,40.91,-10.77,-10.77,30.14,32.25
Ericsson 6340,Sharelle Roach-McGee,9/13/2004,2527.88,1187.26,1484.07,4011.95,5014.94
Wilson Jones Impact Binders,Elizabeth Moffitt,9/13/2004,235.75,-71.13,-71.13,164.62,200.836
Xerox 213,Heather Jas-Hannaway,9/13/2004,410.3,-141.17,-141.17,269.13,325.647
TDK 4.7GB DVD-R,Stephanie Ulpright,9/13/2004,152.35,85.92,107.4,259.75,316.895
36X48 HARDFLOOR CHAIRMAT,Lela Donovan,9/14/2004,1427.45,-593.7,-593.7,833.75,1008.84
Xerox 1892,Roy Skaria,9/14/2004,380.99,129.16,161.45,542.44,667.201
Xerox 1919,Elizabeth Moffitt,9/14/2004,907.12,734.536,918.17,1825.29,2172.09
Avery Non-Stick Binders,Heather Jas-Hannaway,9/14/2004,142.61,54.28,67.85,210.46,233.611
Fellowes Binding Cases,Mary Zewe,9/14/2004,134.03,19.808,24.76,158.79,182.608
Acco Hot Clips(TM) Clips to Go,Ellis Ballard,9/14/2004,13.33,3.936,4.92,18.25,20.258
Akro Stacking Bins,Ellis Ballard,9/14/2004,599.55,-200.44,-200.44,399.11,490.905
Keytronic French Keyboard,Ellis Ballard,9/14/2004,1001.71,118.84,148.55,1150.26,1299.79
SC7868i,Ellis Ballard,9/14/2004,3053.1,1368.91,1711.14,4764.24,5764.73
Xerox 1910,Ellis Ballard,9/14/2004,960.32,909.648,1137.06,2097.38,2453.93
BPI Conference Tables,Victor Price,9/14/2004,6304.77,-1285.92,-1285.92,5018.85,6123
Xerox 1993,Tonja Turnell,9/15/2004,600.64,-276.81,-276.81,323.83,365.928
Elite 5Inch Scissors,David Wiener,9/15/2004,558.79,-186.78,-186.78,372.01,424.091
Avery 48,Elizabeth Moffitt,9/15/2004,23.66,24.184,30.23,53.89,61.435
V60,William Brown,9/15/2004,2030.27,962.336,1202.92,3233.19,3588.84
Xerox 1887,Michael Moore,9/15/2004,158.98,70.88,88.6,247.58,302.048
Assorted Color Push Pins,Tracy Zic,9/15/2004,1.69,0.68,0.85,2.54,2.845
Xerox 191,Jesus Ocampo,9/16/2004,215.24,72.72,90.9,306.14,367.368
Binder Clips by OIC,Dario Medina,9/16/2004,56.14,9.352,11.69,67.83,80.718
Sony 600 Series Flip,Roy Skaria,9/16/2004,2548.17,1067.37,1334.21,3882.38,4814.15
Xerox 1931,Roy Skaria,9/16/2004,252.44,-82.76,-82.76,169.68,201.919
Ericsson 5180,David Wiener,9/16/2004,229.72,84.152,105.19,334.91,401.892
Sony Accessory19,David Wiener,9/16/2004,61.64,68.224,85.28,146.92,157.204
Economy #2 Pencils,William Brown,9/16/2004,124.91,-37.52,-37.52,87.39,94.381
Xerox 1925,Sarah Jordon-Smith,9/16/2004,1191.49,239.632,299.54,1491.03,1789.24
Angle-D Ring Binders,Lena Cacioppo,9/16/2004,194.97,-43.29,-43.29,151.68,163.814
Tennsco Double-Tier Lockers,Mathew Reese,9/16/2004,4766.86,502.824,628.53,5395.39,5827.02
Xerox 206,Deanra Eno,9/17/2004,83.68,-16.73,-16.73,66.95,81.01
Global Task Chair  Black,Elizabeth Moffitt,9/17/2004,2165.08,-564.25,-564.25,1600.83,1760.91
Xerox 202,Jennifer Patt,9/17/2004,262.35,-20.07,-20.07,242.28,288.313
